Species2_eBird,Family2,Order2,Mass,Habitat,Habitat.Density,Trophic.Level,Trophic.Niche,Migration,Primary.Lifestyle,mu.beak.l.c,mu.beak.l.n,mu.beak.w,mu.beak.d,mu.tarsus.l,mu.hwi,mu.tail.l
Acrocephalus rufescens,Acrocephalidae,Passeriformes,22.7,Wetland,3,Carnivore,Invertivore,1,Insessorial,20.72,11.91,4.49,4.01,27.810000000000002,14.88,69
Acrocephalus schoenobaenus,Acrocephalidae,Passeriformes,11.8,Wetland,3,Carnivore,Invertivore,3,Insessorial,14.9,8.225,2.92,2.8099999999999996,20.894444444444446,28.1875,48.92222222222222
Acrocephalus scirpaceus,Acrocephalidae,Passeriformes,12.3,Wetland,3,Carnivore,Invertivore,3,Insessorial,17.41111111111111,8.787500000000001,3.4,2.82,21.705555555555556,25.803125,52.18333333333334
Acrocephalus sechellensis,Acrocephalidae,Passeriformes,15.9,Shrubland,2,Carnivore,Invertivore,1,Insessorial,17.7,10.175,3.98,3.3099999999999996,23.98,11.8125,60.6
Acrocephalus sorghophilus,Acrocephalidae,Passeriformes,8.2,Wetland,2,Carnivore,Invertivore,3,Insessorial,14.9,9.683333333333334,3.4,3.6,22.378571428571426,23.6,55.8
Acrocephalus stentoreus,Acrocephalidae,Passeriformes,24.2,Wetland,3,Carnivore,Invertivore,2,Insessorial,24.615384615384617,14.691666666666666,4.407692307692308,4.623076923076923,27.31153846153846,22.604166666666668,74.48076923076923
Acrocephalus syrinx,Acrocephalidae,Passeriformes,34,Forest,2,Carnivore,Invertivore,1,Terrestrial,24.79,14.175,4.49,4.21,26.12,16.3125,71.4
Acrocephalus taiti,Acrocephalidae,Passeriformes,24.3,Woodland,1,Carnivore,Invertivore,1,Insessorial,20.5,12.100000000000001,4.1,4.025,29.5,16.975,78
Acrocephalus tangorum,Acrocephalidae,Passeriformes,8,Wetland,2,Carnivore,Invertivore,3,Insessorial,14.4875,8.587499999999999,3.5999999999999996,2.8,21.5875,19.3875,53.225
Acrocephalus vaughani,Acrocephalidae,Passeriformes,24.4,Forest,1,Carnivore,Invertivore,1,Insessorial,20.42,11.825,4.1899999999999995,3.98,27.89,17.125,71.4
Acropternis orthonyx,Rhinocryptidae,Passeriformes,89.9,Forest,1,Carnivore,Invertivore,1,Insessorial,22.88,10.41875,4.4944444444444445,6.49375,36.38333333333333,5.4875,88.9
Acryllium vulturinum,Numididae,Galliformes,1330,Shrubland,2,Herbivore,Omnivore,1,Terrestrial,39.714285714285715,26.9875,15.39,16.12,94.22142857142858,19.9,273.4142857142857
Actenoides bougainvillei,Alcedinidae,Coraciiformes,188,Forest,1,Carnivore,Invertivore,1,Insessorial,51.5,37.519999999999996,14.1,16.2,20.08,18.71,95.31
Actenoides concretus,Alcedinidae,Coraciiformes,73.5,Forest,1,Carnivore,Invertivore,1,Insessorial,48.912499999999994,37.5125,12.825,13.412500000000001,14.9,21.5,58.5
Actenoides hombroni,Alcedinidae,Coraciiformes,117,Forest,1,Carnivore,Invertivore,1,Insessorial,46.69,36.4875,13.41,14.59,17.52,22.5125,96
Actenoides lindsayi,Alcedinidae,Coraciiformes,92.8,Forest,1,Carnivore,Invertivore,1,Insessorial,46.5,34.625,12.49,13.19,18.29,20.1,81.2
Actenoides monachus,Alcedinidae,Coraciiformes,150,Forest,1,Carnivore,Invertivore,1,Insessorial,53.47954545454546,40.57857142857143,13.325,16.7,22.41875,19.1,113.38863636363637
Actenoides princeps,Alcedinidae,Coraciiformes,105,Forest,1,Carnivore,Invertivore,1,Insessorial,45.2775,33.2,11.8125,13.075,19.4125,22.975,89.3
Actinodura cyanouroptera,Leiothrichidae,Passeriformes,17,Forest,1,Omnivore,Invertivore,1,Insessorial,14.69,7.4125,3.1900000000000004,3.91,21.909999999999997,9.925,69.7
Actinodura egertoni,Leiothrichidae,Passeriformes,36,Shrubland,1,Omnivore,Invertivore,1,Insessorial,17.189999999999998,8.8875,4.29,5.1899999999999995,28.6,10.8125,112
Actinodura morrisoniana,Leiothrichidae,Passeriformes,24,Forest,1,Carnivore,Invertivore,1,Insessorial,17.08,9.1125,3.72,4.279999999999999,27.689999999999998,14.075,80.4
Actinodura nipalensis,Leiothrichidae,Passeriformes,43.9,Forest,1,Omnivore,Invertivore,1,Insessorial,20.78,10.225,4.09,5,30.58,16.5875,81
Actinodura ramsayi,Leiothrichidae,Passeriformes,38.4,Forest,1,Carnivore,Invertivore,2,Insessorial,20.509999999999998,10.425,4.619999999999999,6.2,28.490000000000002,7.675000000000001,126.6
Actinodura sodangorum,Leiothrichidae,Passeriformes,38.4,Forest,1,Carnivore,Invertivore,1,Insessorial,18.2,10.3,4.7,5.6,31,15.2,123.5
Actinodura souliei,Leiothrichidae,Passeriformes,39.3,Forest,1,Carnivore,Invertivore,2,Insessorial,20.975,11.1125,4.5,5.6875,32.875,13.075,88.5
Actinodura strigula,Leiothrichidae,Passeriformes,19.2,Forest,1,Carnivore,Invertivore,1,Insessorial,14.42,6.7875,3.5,3.9875,24.61,14.1,69.2
Actinodura waldeni,Leiothrichidae,Passeriformes,46.7,Forest,1,Omnivore,Omnivore,2,Insessorial,21.009999999999998,10.412500000000001,4.109999999999999,5.01,32.22,13.1125,84.6
