Group,Genus,Species,Subspecies,Specimen ID,Date,Data,Country,Locality,Elevation,Other Info,Sex,Mass,Wing.Length,Secondary.Length,Kipps_D,HWI,Tarsus.Length,Tail.Length,Beak.Width,Beak.Depth,Beak.Length_Culmen,Measurer
Island,Euphonia,jamaica,,12315,,N,"JAMAICA, ST. JAMES PARISH",,,,M,NA,63.05,51.35,11.7,18.55670103,16.6,42.5,5.52,6.87,7.86,Mia
Mainland,Euphonia,affinis,,5028,,N,"HONDURAS, MORAZAN",,,,,NA,51.41,43.59,7.82,15.21104843,12.61,32.94,4.24,4.08,7.15,Brynn
Island,Euphonia,jamaica,,36056,,N,"JAMAICA, ST. JAMES PARISH",,,,M,NA,64.97,49.16,15.81,24.33430814,17.11,45.43,6.49,6.46,8.4,Mia
Mainland,Euphonia,affinis,,5026,,N,"HONDURAS, MORAZAN",,,,,NA,50.93,42.91,8.02,15.74710387,13.15,34.07,3.37,3.93,6.25,Brynn
Island,Euphonia,jamaica,,11229,,N,"JAMAICA, ST. JAMES PARISH",,,,F,16.4,63.77,51.69,12.08,18.94307668,17.14,41,5.97,6.34,8.69,Mia
Mainland,Euphonia,affinis,,5025,,N,"HONDURAS, EL PARAISO",,,,,NA,52.66,44.12,8.54,16.21724269,13.26,39.03,3.73,3.87,7.21,Brynn
Mainland,Euphonia,chlorotica,taczanowskii,49153,,Y,"PERU, DEPTO. CAJAMARCA, PROV. JAEN",,,,,10.99,56.56,42.95,13.61,24.06294201,14.03,41.23,4.4,4.05,7.78,Brynn
Mainland,Euphonia,affinis,affinis,5020,,N,"MEXICO, OAXACA",,,,M,NA,49.23,37.73,11.5,23.35974,11.83,30.3,5.14,3.34,5.72,Mia
Mainland,Euphonia,chlorotica,taczanowskii,49238,,Y,"PERU, DEPTO. CAJAMARCA, PROV. JAEN",,,,,9.35,58.85,46.68,12.17,20.67969414,13.4,44.43,4.17,4.51,8.47,Brynn
Mainland,Euphonia,affinis,affinis,5021,,N,"MEXICO, OAXACA",,,,M,NA,54.33,42.12,12.21,22.4737714,15.18,35.03,5.12,3.96,7.13,Mia
Mainland,Euphonia,chlorotica,taczanowskii,49169,,Y,"PERU, DEPTO. CAJAMARCA, PROV. JAEN",,,,,10.65,56.08,45.41,10.67,19.02639087,13.71,33.59,4.15,4.31,7.94,Brynn
Mainland,Euphonia,affinis,affinis,5022,,N,"MEXICO, OAXACA",,,,M,NA,52.64,41.79,10.85,20.61170213,14.3,37.36,4.41,4.17,7.85,Mia
Mainland,Euphonia,chlorotica,taczanowskii,47329,,Y,"PERU, DEPTO. AMAZONAS, PROV. CHACHAPOYAS",,,,,10.6,54.82,44.24,10.58,19.29952572,13.19,34.33,4.1,4.14,7.53,Brynn
Mainland,Euphonia,affinis,affinis,5023,,N,"MEXICO, OAXACA",,,,M,NA,54.5,42.07,12.43,22.80733945,13.19,33.14,4.1,3.89,7.76,Mia
Mainland,Euphonia,chlorotica,taczanowskii,47386,,Y,"PERU, DEPTO. AMAZONAS, PROV. CHACHAPOYAS",,,,,10.85,57.59,45.09,12.5,21.70515715,14.45,34.98,4.23,4.3,8.16,Brynn
Mainland,Euphonia,affinis,affinis,9269,,N,"MEXICO, YUCATAN",,,,,NA,48.9,36.59,12.31,25.17382413,12.37,32.65,4.61,3.92,6.6,Mia
Mainland,Euphonia,affinis,affinis,14309,,N,"MEXICO, CHIAPAS",,2400FT,,,NA,53.01,39.95,13.06,24.63686097,13.69,34.97,4.59,4.16,6.12,Mia
Mainland,Euphonia,affinis,affinis,5024,,N,"HONDURAS, MORAZAN",,,,M,NA,49.23,42.92,6.31,12.81738777,11.99,34.5,4.19,3.83,6.79,Mia
Mainland,Euphonia,affinis,affinis,5031,,N,"HONDURAS, MORAZAN",,2600ft,,M,NA,52.14,43.22,8.92,17.10778673,14.53,31.66,4.28,3.8,6.43,Mia
Mainland,Euphonia,affinis,affinis,1567,,N,"HONDURAS, MORAZAN",,2600ft,,F,NA,51.36,42.8,8.56,16.66666667,13.8,30.72,4.77,4.22,6.55,Mia
